PAYS;ANNEE REFERENCE;SOURCE OFFICIELLE;SEXE;AGE;ESPERANCE VIE RESTANTE;DATE PUBLICATION SOURCE;ACTIF;;;;;;;
Allemagne;2023;DESTATIS;Homme;1;77,42;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;2;76,44;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;3;75,45;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;4;74,47;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;5;73,47;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;6;72,48;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;7;71,49;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;8;70,49;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;9;69,50;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;10;68,51;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;11;67,51;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;12;66,52;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;13;65,52;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;14;64,53;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;15;63,54;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;16;62,55;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;17;61,56;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;18;60,58;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;19;59,60;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;20;58,63;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;21;57,65;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;22;56,68;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;23;55,71;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;24;54,73;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;25;53,76;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;26;52,78;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;27;51,81;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;28;50,83;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;29;49,85;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;30;48,88;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;31;47,91;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;32;46,93;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;33;45,96;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;34;44,99;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;35;44,03;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;36;43,06;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;37;42,10;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;38;41,15;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;39;40,19;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;40;39,24;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;41;38,29;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;42;37,34;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;43;36,40;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;44;35,46;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;45;34,53;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;46;33,60;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;47;32,67;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;48;31,75;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;49;30,84;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;50;29,93;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;51;29,03;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;52;28,14;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;53;27,25;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;54;26,37;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;55;25,51;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;56;24,65;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;57;23,80;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;58;22,97;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;59;22,14;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;60;21,34;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;61;20,54;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;62;19,76;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;63;18,99;21.08.2024;oui;;;;;;;
