pays;source_officielle;annee_reference;sexe;age;esperance_vie_restante;date_publication_source;actif;;;;
LU;STATEC;1947;F;4;24.70;01.01.2024;True;;;;
LU;STATEC;1947;M;1;61.70;01.01.2024;True;;;;
LU;STATEC;1947;F;6;83,80;01.01.2024;True;;;;
LU;STATEC;1947;M;2;48.00;01.01.2024;True;;;;
LU;STATEC;1947;M;3;30.30;01.01.2024;True;;;;
LU;STATEC;1947;F;3;33.40;01.01.2024;True;;;;
LU;STATEC;1947;F;5;16.90;01.01.2024;True;;;;
LU;STATEC;1947;F;1;65.80;01.01.2024;True;;;;
LU;STATEC;1947;M;4;22.20;01.01.2024;True;;;;
LU;STATEC;1947;F;2;51.50;01.01.2024;True;;;;
LU;STATEC;1973;F;4;27.50;01.01.2024;True;;;;
LU;STATEC;1973;M;1;67.30;01.01.2024;True;;;;
LU;STATEC;1973;F;6;85,49;01.01.2024;True;;;;
LU;STATEC;1973;M;2;49.50;01.01.2024;True;;;;
LU;STATEC;1973;F;3;36.50;01.01.2024;True;;;;
LU;STATEC;1973;F;5;19.20;01.01.2024;True;;;;
LU;STATEC;1973;F;1;74.50;01.01.2024;True;;;;
LU;STATEC;1973;M;4;22.40;01.01.2024;True;;;;
LU;STATEC;1973;M;5;15.00;01.01.2024;True;;;;
LU;STATEC;1973;F;2;55.80;01.01.2024;True;;;;
LU;STATEC;1981;F;4;29.20;01.01.2024;True;;;;
LU;STATEC;1981;M;1;70.00;01.01.2024;True;;;;
LU;STATEC;1981;F;6;13.00;01.01.2024;True;;;;
LU;STATEC;1981;M;2;50.90;01.01.2024;True;;;;
LU;STATEC;1981;M;3;32.40;01.01.2024;True;;;;
LU;STATEC;1981;F;3;38.40;01.01.2024;True;;;;
LU;STATEC;1981;F;5;20.70;01.01.2024;True;;;;
LU;STATEC;1981;F;1;76.70;01.01.2024;True;;;;
LU;STATEC;1981;M;4;23.60;01.01.2024;True;;;;
LU;STATEC;1981;M;5;16.00;01.01.2024;True;;;;
LU;STATEC;1981;F;2;57.40;01.01.2024;True;;;;
LU;STATEC;1986;M;1;70.60;01.01.2024;True;;;;
LU;STATEC;1986;F;6;13.30;01.01.2024;True;;;;
LU;STATEC;1986;M;2;51.90;01.01.2024;True;;;;
LU;STATEC;1986;M;3;33.20;01.01.2024;True;;;;
LU;STATEC;1986;F;3;39.40;01.01.2024;True;;;;
LU;STATEC;1986;F;5;21.30;01.01.2024;True;;;;
LU;STATEC;1986;F;1;77.90;01.01.2024;True;;;;
LU;STATEC;1986;M;4;24.20;01.01.2024;True;;;;
LU;STATEC;1986;M;5;16.40;01.01.2024;True;;;;
LU;STATEC;1986;F;2;58.80;01.01.2024;True;;;;
LU;STATEC;1991;F;4;31.50;01.01.2024;True;;;;
LU;STATEC;1991;M;1;72.60;01.01.2024;True;;;;
LU;STATEC;1991;F;6;14.90;01.01.2024;True;;;;
LU;STATEC;1991;M;2;54.00;01.01.2024;True;;;;
LU;STATEC;1991;M;3;35.30;01.01.2024;True;;;;
LU;STATEC;1991;F;3;40.80;01.01.2024;True;;;;
LU;STATEC;1991;F;5;22.70;01.01.2024;True;;;;
LU;STATEC;1991;F;1;79.10;01.01.2024;True;;;;
LU;STATEC;1991;M;4;26.40;01.01.2024;True;;;;
LU;STATEC;1991;M;5;18.40;01.01.2024;True;;;;
