pays;source_officielle;annee_reference;sexe;age;esperance_vie_restante;date_publication_source;actif;âge actuel
LU;STATEC;1901;F;1;58.90;01.01.2024;True;
LU;STATEC;1901;F;2;44.60;01.01.2024;True;
LU;STATEC;1901;F;3;26.50;01.01.2024;True;
LU;STATEC;1901;F;4;17.80;01.01.2024;True;
LU;STATEC;1901;F;5;10.00;01.01.2024;True;
LU;STATEC;1901;F;6;76.90;01.01.2024;True;
LU;STATEC;1901;M;1;54.80;01.01.2024;True;
LU;STATEC;1901;M;2;41.10;01.01.2024;True;
LU;STATEC;1901;M;3;23.40;01.01.2024;True;
LU;STATEC;1901;M;4;15.30;01.01.2024;True;
LU;STATEC;1902;F;1;59.05;01.01.2024;True;
LU;STATEC;1902;F;2;44.75;01.01.2024;True;
LU;STATEC;1902;F;3;26.65;01.01.2024;True;
LU;STATEC;1902;F;4;17.95;01.01.2024;True;
LU;STATEC;1902;F;5;Okt 15;01.01.2024;True;
LU;STATEC;1902;F;6;77.05;01.01.2024;True;
LU;STATEC;1902;M;1;54.95;01.01.2024;True;
LU;STATEC;1902;M;2;41.25;01.01.2024;True;
LU;STATEC;1902;M;3;23.55;01.01.2024;True;
LU;STATEC;1902;M;4;15.45;01.01.2024;True;
LU;STATEC;1903;F;1;59.20;01.01.2024;True;
LU;STATEC;1903;F;2;44.90;01.01.2024;True;
LU;STATEC;1903;F;3;26.80;01.01.2024;True;
LU;STATEC;1903;F;4;18. Okt;01.01.2024;True;
LU;STATEC;1903;F;5;Okt 30;01.01.2024;True;
LU;STATEC;1903;F;6;77.20;01.01.2024;True;
LU;STATEC;1903;M;1;55.10;01.01.2024;True;
LU;STATEC;1903;M;2;41.40;01.01.2024;True;
LU;STATEC;1903;M;3;23.70;01.01.2024;True;
LU;STATEC;1903;M;4;15.60;01.01.2024;True;
LU;STATEC;1904;F;1;59.35;01.01.2024;True;
LU;STATEC;1904;F;2;45.05;01.01.2024;True;
LU;STATEC;1904;F;3;26.95;01.01.2024;True;
LU;STATEC;1904;F;4;18.25;01.01.2024;True;
LU;STATEC;1904;F;5;Okt 45;01.01.2024;True;
LU;STATEC;1904;F;6;77.35;01.01.2024;True;
LU;STATEC;1904;M;1;55.25;01.01.2024;True;
LU;STATEC;1904;M;2;41.55;01.01.2024;True;
LU;STATEC;1904;M;3;23.85;01.01.2024;True;
LU;STATEC;1904;M;4;15.75;01.01.2024;True;
LU;STATEC;1905;F;1;59.50;01.01.2024;True;
LU;STATEC;1905;F;2;45.20;01.01.2024;True;
LU;STATEC;1905;F;3;27. Okt;01.01.2024;True;
LU;STATEC;1905;F;4;18.40;01.01.2024;True;
LU;STATEC;1905;F;5;Okt 60;01.01.2024;True;
LU;STATEC;1905;F;6;77.50;01.01.2024;True;
LU;STATEC;1905;M;1;55.40;01.01.2024;True;
LU;STATEC;1905;M;2;41.70;01.01.2024;True;
LU;STATEC;1905;M;3;24.00;01.01.2024;True;
LU;STATEC;1905;M;4;15.90;01.01.2024;True;
LU;STATEC;1906;F;1;59.65;01.01.2024;True;
LU;STATEC;1906;F;2;45.35;01.01.2024;True;
LU;STATEC;1906;F;3;27.25;01.01.2024;True;
LU;STATEC;1906;F;4;18.55;01.01.2024;True;
LU;STATEC;1906;F;5;Okt 75;01.01.2024;True;
LU;STATEC;1906;F;6;77.65;01.01.2024;True;
LU;STATEC;1906;M;1;55.55;01.01.2024;True;
LU;STATEC;1906;M;2;41.85;01.01.2024;True;
LU;STATEC;1906;M;3;24.15;01.01.2024;True;
LU;STATEC;1906;M;4;16. Mai;01.01.2024;True;
LU;STATEC;1907;F;1;59.80;01.01.2024;True;
LU;STATEC;1907;F;2;45.50;01.01.2024;True;
LU;STATEC;1907;F;3;27.40;01.01.2024;True;
LU;STATEC;1907;F;4;18.70;01.01.2024;True;
LU;STATEC;1907;F;5;Okt 90;01.01.2024;True;
